English name,scientific name,order,family
Stiles's Tapaculo,Scytalopus stilesi,Passeriformes,Rhinocryptidae (Tapaculos)
Ecuadorian Tapaculo,Scytalopus robbinsi,Passeriformes,Rhinocryptidae (Tapaculos)
Tatama Tapaculo,Scytalopus alvarezlopezi,Passeriformes,Rhinocryptidae (Tapaculos)
Nariño Tapaculo,Scytalopus vicinior,Passeriformes,Rhinocryptidae (Tapaculos)
Brown-rumped Tapaculo,Scytalopus latebricola,Passeriformes,Rhinocryptidae (Tapaculos)
Perija Tapaculo,Scytalopus perijanus,Passeriformes,Rhinocryptidae (Tapaculos)
Merida Tapaculo,Scytalopus meridanus,Passeriformes,Rhinocryptidae (Tapaculos)
Silvery-fronted Tapaculo,Scytalopus argentifrons,Passeriformes,Rhinocryptidae (Tapaculos)
Caracas Tapaculo,Scytalopus caracae,Passeriformes,Rhinocryptidae (Tapaculos)
Spillmann's Tapaculo,Scytalopus spillmanni,Passeriformes,Rhinocryptidae (Tapaculos)
Chusquea Tapaculo,Scytalopus parkeri,Passeriformes,Rhinocryptidae (Tapaculos)
Brasilia Tapaculo,Scytalopus novacapitalis,Passeriformes,Rhinocryptidae (Tapaculos)
Magellanic Tapaculo,Scytalopus magellanicus,Passeriformes,Rhinocryptidae (Tapaculos)
Pale-bellied Tapaculo,Scytalopus griseicollis,Passeriformes,Rhinocryptidae (Tapaculos)
Neblina Tapaculo,Scytalopus altirostris,Passeriformes,Rhinocryptidae (Tapaculos)
Ancash Tapaculo,Scytalopus affinis,Passeriformes,Rhinocryptidae (Tapaculos)
Tschudi's Tapaculo,Scytalopus acutirostris,Passeriformes,Rhinocryptidae (Tapaculos)
Vilcabamba Tapaculo,Scytalopus urubambae,Passeriformes,Rhinocryptidae (Tapaculos)
Puna Tapaculo,Scytalopus simonsi,Passeriformes,Rhinocryptidae (Tapaculos)
Zimmer's Tapaculo,Scytalopus zimmeri,Passeriformes,Rhinocryptidae (Tapaculos)
White-browed Tapaculo,Scytalopus superciliaris,Passeriformes,Rhinocryptidae (Tapaculos)
Dusky Tapaculo,Scytalopus fuscus,Passeriformes,Rhinocryptidae (Tapaculos)
Paramillo Tapaculo,Scytalopus canus,Passeriformes,Rhinocryptidae (Tapaculos)
Paramo Tapaculo,Scytalopus opacus,Passeriformes,Rhinocryptidae (Tapaculos)
Diademed Tapaculo,Scytalopus schulenbergi,Passeriformes,Rhinocryptidae (Tapaculos)
Rufous-capped Antthrush,Formicarius colma,Passeriformes,Formicariidae (Antthrushes)
Black-faced Antthrush,Formicarius analis,Passeriformes,Formicariidae (Antthrushes)
Rufous-fronted Antthrush,Formicarius rufifrons,Passeriformes,Formicariidae (Antthrushes)
Black-headed Antthrush,Formicarius nigricapillus,Passeriformes,Formicariidae (Antthrushes)
Rufous-breasted Antthrush,Formicarius rufipectus,Passeriformes,Formicariidae (Antthrushes)
Short-tailed Antthrush,Chamaeza campanisona,Passeriformes,Formicariidae (Antthrushes)
Striated Antthrush,Chamaeza nobilis,Passeriformes,Formicariidae (Antthrushes)
Such's Antthrush,Chamaeza meruloides,Passeriformes,Formicariidae (Antthrushes)
Schwartz's Antthrush,Chamaeza turdina,Passeriformes,Formicariidae (Antthrushes)
Rufous-tailed Antthrush,Chamaeza ruficauda,Passeriformes,Formicariidae (Antthrushes)
Barred Antthrush,Chamaeza mollissima,Passeriformes,Formicariidae (Antthrushes)
Tawny-throated Leaftosser,Sclerurus mexicanus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Short-billed Leaftosser,Sclerurus rufigularis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Scaly-throated Leaftosser,Sclerurus guatemalensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Black-tailed Leaftosser,Sclerurus caudacutus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Gray-throated Leaftosser,Sclerurus albigularis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rufous-breasted Leaftosser,Sclerurus scansor,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Coastal Miner,Geositta peruviana,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Slender-billed Miner,Geositta tenuirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Common Miner,Geositta cunicularia,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Puna Miner,Geositta punensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Campo Miner,Geositta poeciloptera,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Thick-billed Miner,Geositta crassirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rufous-banded Miner,Geositta rufipennis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Grayish Miner,Geositta maritima,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Short-billed Miner,Geositta antarctica,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Dark-winged Miner,Geositta saxicolina,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Creamy-rumped Miner,Geositta isabellina,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Spot-throated Woodcreeper,Certhiasomus stictolaemus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Olivaceous Woodcreeper,Sittasomus griseicapillus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Long-tailed Woodcreeper,Deconychura longicauda,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Tyrannine Woodcreeper,Dendrocincla tyrannina,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-chinned Woodcreeper,Dendrocincla merula,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Ruddy Woodcreeper,Dendrocincla homochroa,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Tawny-winged Woodcreeper,Dendrocincla anabatina,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Plain-brown Woodcreeper,Dendrocincla fuliginosa,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Plain-winged Woodcreeper,Dendrocincla turdina,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Wedge-billed Woodcreeper,Glyphorynchus spirurus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Cinnamon-throated Woodcreeper,Dendrexetastes rufigula,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Long-billed Woodcreeper,Nasica longirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Amazonian Barred-Woodcreeper,Dendrocolaptes certhia,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Black-banded Woodcreeper,Dendrocolaptes picumnus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Hoffmanns's Woodcreeper,Dendrocolaptes hoffmannsi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Planalto Woodcreeper,Dendrocolaptes platyrostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Bar-bellied Woodcreeper,Hylexetastes stresemanni,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Red-billed Woodcreeper,Hylexetastes perrotii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Moustached Woodcreeper,Xiphocolaptes falcirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-throated Woodcreeper,Xiphocolaptes albicollis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Great Rufous Woodcreeper,Xiphocolaptes major,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Striped Woodcreeper,Xiphorhynchus obsoletus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Ceara Woodcreeper,Xiphorhynchus atlanticus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Lesser Woodcreeper,Xiphorhynchus fuscus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Chestnut-rumped Woodcreeper,Xiphorhynchus pardalotus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Ocellated Woodcreeper,Xiphorhynchus ocellatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Elegant Woodcreeper,Xiphorhynchus elegans,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Spix's Woodcreeper,Xiphorhynchus spixii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Cocoa Woodcreeper,Xiphorhynchus susurrans,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Buff-throated Woodcreeper,Xiphorhynchus guttatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Black-striped Woodcreeper,Xiphorhynchus lachrymosus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Spotted Woodcreeper,Xiphorhynchus erythropygius,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Olive-backed Woodcreeper,Xiphorhynchus triangularis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Straight-billed Woodcreeper,Dendroplex picus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Zimmer's Woodcreeper,Dendroplex kienerii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Red-billed Scythebill,Campylorhamphus trochilirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Black-billed Scythebill,Campylorhamphus falcularius,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Curve-billed Scythebill,Campylorhamphus procurvoides,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Brown-billed Scythebill,Campylorhamphus pusillus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Greater Scythebill,Drymotoxeres pucheranii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Scimitar-billed Woodcreeper,Drymornis bridgesii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Streak-headed Woodcreeper,Lepidocolaptes souleyetii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Narrow-billed Woodcreeper,Lepidocolaptes angustirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-striped Woodcreeper,Lepidocolaptes leucogaster,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Spot-crowned Woodcreeper,Lepidocolaptes affinis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Montane Woodcreeper,Lepidocolaptes lacrymiger,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Scaled Woodcreeper,Lepidocolaptes squamatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Scalloped Woodcreeper,Lepidocolaptes falcinellus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Duida Woodcreeper,Lepidocolaptes duidae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Guianan Woodcreeper,Lepidocolaptes albolineatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Inambari Woodcreeper,Lepidocolaptes fatimalimae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rondonia Woodcreeper,Lepidocolaptes fuscicapillus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Layard's Woodcreeper,Lepidocolaptes layardi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Slender-billed Xenops,Xenops tenuirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Plain Xenops,Xenops minutus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Streaked Xenops,Xenops rutilans,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Point-tailed Palmcreeper,Berlepschia rikeri,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rufous-tailed Xenops,Microxenops milleri,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-throated Treerunner,Pygarrhichas albogularis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rock Earthcreeper,Ochetorhynchus andaecola,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Straight-billed Earthcreeper,Ochetorhynchus ruficaudus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Band-tailed Earthcreeper,Ochetorhynchus phoenicurus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Crag Chilia,Ochetorhynchus melanurus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Buffy Tuftedcheek,Pseudocolaptes lawrencii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Streaked Tuftedcheek,Pseudocolaptes boissonneautii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rusty-winged Barbtail,Premnornis guttuliger,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Bolivian Earthcreeper,Tarphonomus harterti,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Chaco Earthcreeper,Tarphonomus certhioides,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Wing-banded Hornero,Furnarius figulus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Pale-legged Hornero,Furnarius leucopus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Pale-billed Hornero,Furnarius torridus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Lesser Hornero,Furnarius minor,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rufous Hornero,Furnarius rufus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Crested Hornero,Furnarius cristatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Sharp-tailed Streamcreeper,Lochmias nematura,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Wren-like Rushbird,Phleocryptes melanops,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Curve-billed Reedhaunter,Limnornis curvirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Striated Earthcreeper,Geocerthia serrana,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Patagonian Forest Earthcreeper,Upucerthia saturatior,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Scale-throated Earthcreeper,Upucerthia dumetaria,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-throated Earthcreeper,Upucerthia albigula,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Buff-breasted Earthcreeper,Upucerthia validirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Long-tailed Cinclodes,Cinclodes pabsti,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Buff-winged Cinclodes,Cinclodes fuscus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Blackish Cinclodes,Cinclodes antarcticus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Cordoba Cinclodes,Cinclodes comechingonus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Chestnut-winged Cinclodes,Cinclodes albidiventris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Olrog's Cinclodes,Cinclodes olrogi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Cream-winged Cinclodes,Cinclodes albiventris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Gray-flanked Cinclodes,Cinclodes oustaleti,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Stout-billed Cinclodes,Cinclodes excelsior,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Royal Cinclodes,Cinclodes aricomae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-bellied Cinclodes,Cinclodes palliatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-winged Cinclodes,Cinclodes atacamensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Dark-bellied Cinclodes,Cinclodes patagonicus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Surf Cinclodes,Cinclodes taczanowskii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Seaside Cinclodes,Cinclodes nigrofumosus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Dusky-cheeked Foliage-gleaner,Anabazenops dorsalis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-collared Foliage-gleaner,Anabazenops fuscus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Great Xenops,Megaxenops parnaguae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Pale-browed Treehunter,Cichlocolaptes leucophrus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Cryptic Treehunter,Cichlocolaptes mazarbarnetti,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Sharp-billed Treehunter,Heliobletus contaminatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Slaty-winged Foliage-gleaner,Philydor fuscipenne,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rufous-rumped Foliage-gleaner,Philydor erythrocercum,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Chestnut-winged Foliage-gleaner,Philydor erythropterum,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Alagoas Foliage-gleaner,Philydor novaesi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Black-capped Foliage-gleaner,Philydor atricapillus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Buff-fronted Foliage-gleaner,Philydor rufum,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Cinnamon-rumped Foliage-gleaner,Philydor pyrrhodes,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Montane Foliage-gleaner,Anabacerthia striaticollis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rufous-tailed Foliage-gleaner,Anabacerthia ruficaudata,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-browed Foliage-gleaner,Anabacerthia amaurotis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Ochre-breasted Foliage-gleaner,Anabacerthia lichtensteini,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Guttulate Foliage-gleaner,Syndactyla guttulata,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Lineated Foliage-gleaner,Syndactyla subalaris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Buff-browed Foliage-gleaner,Syndactyla rufosuperciliata,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rufous-necked Foliage-gleaner,Syndactyla ruficollis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Russet-mantled Foliage-gleaner,Syndactyla dimidiata,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-throated Foliage-gleaner,Syndactyla roraimae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Peruvian Recurvebill,Syndactyla ucayalae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Bolivian Recurvebill,Syndactyla striata,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Chestnut-winged Hookbill,Ancistrops strigilatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Chestnut-capped Foliage-gleaner,Clibanornis rectirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Canebrake Groundcreeper,Clibanornis dendrocolaptoides,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Henna-hooded Foliage-gleaner,Clibanornis erythrocephalus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Ruddy Foliage-gleaner,Clibanornis rubiginosus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Santa Marta Foliage-gleaner,Clibanornis rufipectus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Uniform Treehunter,Thripadectes ignobilis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Flammulated Treehunter,Thripadectes flammulatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rufous-backed Treehunter,Thripadectes scrutator,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Striped Treehunter,Thripadectes holostictus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Streak-capped Treehunter,Thripadectes virgaticeps,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Streak-breasted Treehunter,Thripadectes rufobrunneus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Black-billed Treehunter,Thripadectes melanorhynchus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Chestnut-crowned Foliage-gleaner,Automolus rufipileatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Brown-rumped Foliage-gleaner,Automolus melanopezus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Buff-throated Foliage-gleaner,Automolus ochrolaemus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Chiriqui Foliage-gleaner,Automolus exsertus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Striped Woodhaunter,Automolus subulatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Olive-backed Foliage-gleaner,Automolus infuscatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Para Foliage-gleaner,Automolus paraensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Pernambuco Foliage-gleaner,Automolus lammi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-eyed Foliage-gleaner,Automolus leucophthalmus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Spotted Barbtail,Premnoplex brunnescens,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-throated Barbtail,Premnoplex tatei,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Beautiful Treerunner,Margarornis bellulus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Ruddy Treerunner,Margarornis rubiginosus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Fulvous-dotted Treerunner,Margarornis stellatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Pearled Treerunner,Margarornis squamiger,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Thorn-tailed Rayadito,Aphrastura spinicauda,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Masafuera Rayadito,Aphrastura masafuerae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Des Murs's Wiretail,Sylviorthorhynchus desmursii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Tawny Tit-Spinetail,Sylviorthorhynchus yanacensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Brown-capped Tit-Spinetail,Leptasthenura fuliginiceps,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Tufted Tit-Spinetail,Leptasthenura platensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Plain-mantled Tit-Spinetail,Leptasthenura aegithaloides,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Striolated Tit-Spinetail,Leptasthenura striolata,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rusty-crowned Tit-Spinetail,Leptasthenura pileata,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-browed Tit-Spinetail,Leptasthenura xenothorax,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Streaked Tit-Spinetail,Leptasthenura striata,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Andean Tit-Spinetail,Leptasthenura andicola,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Araucaria Tit-Spinetail,Leptasthenura setaria,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rufous-fronted Thornbird,Phacellodomus rufifrons,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Streak-fronted Thornbird,Phacellodomus striaticeps,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Little Thornbird,Phacellodomus sibilatrix,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Chestnut-backed Thornbird,Phacellodomus dorsalis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Spot-breasted Thornbird,Phacellodomus maculipectus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Freckle-breasted Thornbird,Phacellodomus striaticollis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Greater Thornbird,Phacellodomus ruber,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Orange-eyed Thornbird,Phacellodomus erythrophthalmus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Orange-breasted Thornbird,Phacellodomus ferrugineigula,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
White-browed Spinetail,Hellmayrea gularis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Firewood-gatherer,Anumbius annumbi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Lark-like Brushrunner,Coryphistera alaudina,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Creamy-breasted Canastero,Asthenes dorbignyi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Berlepsch's Canastero,Asthenes berlepschi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Short-billed Canastero,Asthenes baeri,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Cipo Canastero,Asthenes luizae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Hudson's Canastero,Asthenes hudsoni,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Austral Canastero,Asthenes anthoides,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Line-fronted Canastero,Asthenes urubambensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Many-striped Canastero,Asthenes flammulata,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Junin Canastero,Asthenes virgata,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Scribble-tailed Canastero,Asthenes maculicauda,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Streak-backed Canastero,Asthenes wyatti,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Puna Canastero,Asthenes sclateri,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Streak-throated Canastero,Asthenes humilis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Cordilleran Canastero,Asthenes modesta,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Itatiaia Spinetail,Asthenes moreirae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Sharp-billed Canastero,Asthenes pyrrholeuca,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Black-throated Thistletail,Asthenes harterti,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Puna Thistletail,Asthenes helleri,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Ayacucho Thistletail,Asthenes ayacuchensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Vilcabamba Thistletail,Asthenes vilcabambae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Canyon Canastero,Asthenes pudibunda,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Rusty-fronted Canastero,Asthenes ottonis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Maquis Canastero,Asthenes heterura,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
Eye-ringed Thistletail,Asthenes palpebralis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
